"Province.State","Country.Region","Lat","Long","date","num"
"Hainan","Mainland China",19.19673,109.7455,"2.23.2020",168
"Hainan","Mainland China",19.19673,109.7455,"2.24.2020",168
"Hainan","Mainland China",19.19673,109.7455,"2.25.2020",168
"Hainan","Mainland China",19.19673,109.7455,"2.26.2020",168
"Hebei","Mainland China",38.0428,114.5149,"1.22.2020",1
"Hebei","Mainland China",38.0428,114.5149,"1.23.2020",1
"Hebei","Mainland China",38.0428,114.5149,"1.24.2020",2
"Hebei","Mainland China",38.0428,114.5149,"1.25.2020",8
"Hebei","Mainland China",38.0428,114.5149,"1.26.2020",13
"Hebei","Mainland China",38.0428,114.5149,"1.27.2020",18
"Hebei","Mainland China",38.0428,114.5149,"1.28.2020",33
"Hebei","Mainland China",38.0428,114.5149,"1.29.2020",48
"Hebei","Mainland China",38.0428,114.5149,"1.30.2020",65
"Hebei","Mainland China",38.0428,114.5149,"1.31.2020",82
"Hebei","Mainland China",38.0428,114.5149,"2.1.2020",96
"Hebei","Mainland China",38.0428,114.5149,"2.2.2020",104
"Hebei","Mainland China",38.0428,114.5149,"2.3.2020",113
"Hebei","Mainland China",38.0428,114.5149,"2.4.2020",126
"Hebei","Mainland China",38.0428,114.5149,"2.5.2020",135
"Hebei","Mainland China",38.0428,114.5149,"2.6.2020",157
"Hebei","Mainland China",38.0428,114.5149,"2.7.2020",172
"Hebei","Mainland China",38.0428,114.5149,"2.8.2020",195
"Hebei","Mainland China",38.0428,114.5149,"2.9.2020",206
"Hebei","Mainland China",38.0428,114.5149,"2.10.2020",218
"Hebei","Mainland China",38.0428,114.5149,"2.11.2020",239
"Hebei","Mainland China",38.0428,114.5149,"2.12.2020",251
"Hebei","Mainland China",38.0428,114.5149,"2.13.2020",265
"Hebei","Mainland China",38.0428,114.5149,"2.14.2020",283
"Hebei","Mainland China",38.0428,114.5149,"2.15.2020",291
"Hebei","Mainland China",38.0428,114.5149,"2.16.2020",300
"Hebei","Mainland China",38.0428,114.5149,"2.17.2020",301
"Hebei","Mainland China",38.0428,114.5149,"2.18.2020",306
"Hebei","Mainland China",38.0428,114.5149,"2.19.2020",306
"Hebei","Mainland China",38.0428,114.5149,"2.20.2020",307
"Hebei","Mainland China",38.0428,114.5149,"2.21.2020",308
"Hebei","Mainland China",38.0428,114.5149,"2.22.2020",309
"Hebei","Mainland China",38.0428,114.5149,"2.23.2020",311
"Hebei","Mainland China",38.0428,114.5149,"2.24.2020",311
"Hebei","Mainland China",38.0428,114.5149,"2.25.2020",311
"Hebei","Mainland China",38.0428,114.5149,"2.26.2020",312
"Heilongjiang","Mainland China",47.862,127.7622,"1.22.2020",0
"Heilongjiang","Mainland China",47.862,127.7622,"1.23.2020",2
"Heilongjiang","Mainland China",47.862,127.7622,"1.24.2020",4
"Heilongjiang","Mainland China",47.862,127.7622,"1.25.2020",9
"Heilongjiang","Mainland China",47.862,127.7622,"1.26.2020",15
"Heilongjiang","Mainland China",47.862,127.7622,"1.27.2020",21
"Heilongjiang","Mainland China",47.862,127.7622,"1.28.2020",33
"Heilongjiang","Mainland China",47.862,127.7622,"1.29.2020",38
"Heilongjiang","Mainland China",47.862,127.7622,"1.30.2020",44
"Heilongjiang","Mainland China",47.862,127.7622,"1.31.2020",59
"Heilongjiang","Mainland China",47.862,127.7622,"2.1.2020",80
"Heilongjiang","Mainland China",47.862,127.7622,"2.2.2020",95
"Heilongjiang","Mainland China",47.862,127.7622,"2.3.2020",121
"Heilongjiang","Mainland China",47.862,127.7622,"2.4.2020",155
"Heilongjiang","Mainland China",47.862,127.7622,"2.5.2020",190
"Heilongjiang","Mainland China",47.862,127.7622,"2.6.2020",227
"Heilongjiang","Mainland China",47.862,127.7622,"2.7.2020",277
"Heilongjiang","Mainland China",47.862,127.7622,"2.8.2020",295
"Heilongjiang","Mainland China",47.862,127.7622,"2.9.2020",307
"Heilongjiang","Mainland China",47.862,127.7622,"2.10.2020",331
"Heilongjiang","Mainland China",47.862,127.7622,"2.11.2020",360
"Heilongjiang","Mainland China",47.862,127.7622,"2.12.2020",378
"Heilongjiang","Mainland China",47.862,127.7622,"2.13.2020",395
"Heilongjiang","Mainland China",47.862,127.7622,"2.14.2020",419
"Heilongjiang","Mainland China",47.862,127.7622,"2.15.2020",425
"Heilongjiang","Mainland China",47.862,127.7622,"2.16.2020",445
"Heilongjiang","Mainland China",47.862,127.7622,"2.17.2020",457
"Heilongjiang","Mainland China",47.862,127.7622,"2.18.2020",464
"Heilongjiang","Mainland China",47.862,127.7622,"2.19.2020",470
"Heilongjiang","Mainland China",47.862,127.7622,"2.20.2020",476
"Heilongjiang","Mainland China",47.862,127.7622,"2.21.2020",479
"Heilongjiang","Mainland China",47.862,127.7622,"2.22.2020",479
"Heilongjiang","Mainland China",47.862,127.7622,"2.23.2020",480
"Heilongjiang","Mainland China",47.862,127.7622,"2.24.2020",480
"Heilongjiang","Mainland China",47.862,127.7622,"2.25.2020",480
"Heilongjiang","Mainland China",47.862,127.7622,"2.26.2020",480
"Henan","Mainland China",33.88202,113.614,"1.22.2020",5
"Henan","Mainland China",33.88202,113.614,"1.23.2020",5
"Henan","Mainland China",33.88202,113.614,"1.24.2020",9
"Henan","Mainland China",33.88202,113.614,"1.25.2020",32
"Henan","Mainland China",33.88202,113.614,"1.26.2020",83
"Henan","Mainland China",33.88202,113.614,"1.27.2020",128
"Henan","Mainland China",33.88202,113.614,"1.28.2020",168
"Henan","Mainland China",33.88202,113.614,"1.29.2020",206
"Henan","Mainland China",33.88202,113.614,"1.30.2020",278
"Henan","Mainland China",33.88202,113.614,"1.31.2020",352
"Henan","Mainland China",33.88202,113.614,"2.1.2020",422
"Henan","Mainland China",33.88202,113.614,"2.2.2020",493
"Henan","Mainland China",33.88202,113.614,"2.3.2020",566
"Henan","Mainland China",33.88202,113.614,"2.4.2020",675
"Henan","Mainland China",33.88202,113.614,"2.5.2020",764
"Henan","Mainland China",33.88202,113.614,"2.6.2020",851
"Henan","Mainland China",33.88202,113.614,"2.7.2020",914
"Henan","Mainland China",33.88202,113.614,"2.8.2020",981
"Henan","Mainland China",33.88202,113.614,"2.9.2020",1033
"Henan","Mainland China",33.88202,113.614,"2.10.2020",1073
"Henan","Mainland China",33.88202,113.614,"2.11.2020",1105
"Henan","Mainland China",33.88202,113.614,"2.12.2020",1135
"Henan","Mainland China",33.88202,113.614,"2.13.2020",1169
"Henan","Mainland China",33.88202,113.614,"2.14.2020",1184
"Henan","Mainland China",33.88202,113.614,"2.15.2020",1212
"Henan","Mainland China",33.88202,113.614,"2.16.2020",1231
"Henan","Mainland China",33.88202,113.614,"2.17.2020",1246
"Henan","Mainland China",33.88202,113.614,"2.18.2020",1257
"Henan","Mainland China",33.88202,113.614,"2.19.2020",1262
"Henan","Mainland China",33.88202,113.614,"2.20.2020",1265
"Henan","Mainland China",33.88202,113.614,"2.21.2020",1267
"Henan","Mainland China",33.88202,113.614,"2.22.2020",1270
"Henan","Mainland China",33.88202,113.614,"2.23.2020",1271
"Henan","Mainland China",33.88202,113.614,"2.24.2020",1271
